teacher_id,teacher_name,primary_subject,gender,total_periods_assigned,max_capacity,utilization_rate
T449,Ahmed Al-Masri,social,Male,4,24,16.666666666666664
T399,Ali Abu Hamid,science,Male,7,24,29.166666666666668
T484,Jamal Al-Qaisi,social,Male,4,24,16.666666666666664
T459,Karim Al-Mutairi,science,Male,7,24,29.166666666666668
T300,Jumana Ibrahim,science,Female,7,24,29.166666666666668
T460,Noura El-Sayed,social,Female,4,24,16.666666666666664
T451,Duaa Fahmy,geography,Female,3,24,12.5
T456,Jumana Al-Shammari,geography,Female,3,24,12.5
T305,Reema Rahman,science,Female,6,24,25.0
T309,Shahad Qudsi,science,Female,1,24,4.166666666666666
T469,Fatma Barghouti,social,Female,4,24,16.666666666666664
T461,Reema Shawky,geography,Female,3,24,12.5
T465,Shahad Kassab,history,Female,3,24,12.5
T314,Mariam Al-Ghamdi,science,Female,1,24,4.166666666666666
T474,Heba Al-Anazi,social,Female,4,24,16.666666666666664
T478,Hagar Al-Qudah,geography,Female,3,24,12.5
T482,Reem Hassan,geography,Female,3,24,12.5
T477,Sara Hamdan,social,Female,4,24,16.666666666666664
T485,Nadia Al-Omari,history,Female,3,24,12.5
T492,Hanin Al-Ahmad,geography,Female,3,24,12.5
T491,Rania Khalidi,social,Female,4,24,16.666666666666664
T495,Lama Al-Faisal,history,Female,2,24,8.333333333333332
T494,Dalia Sabbagh,geography,Female,2,24,8.333333333333332
T498,Nahla Al-Tamimi,geography,Female,2,24,8.333333333333332
T500,Mona Al-Masri,history,Female,2,24,8.333333333333332
